year,internet_users_pct,mobile_subscriptions_per100,fixed_broadband_per100,rd_expenditure_pct_gdp,internet_users_pct_normalized,mobile_subscriptions_per100_normalized,fixed_broadband_per100_normalized,rd_expenditure_pct_gdp_normalized,digital_economy_index,internet_penetration_index
2000,1.77591,6.7156,0.00178484,0.89316,0.0,0.0,0.0,0.0,0.0,0.0177591
2001,2.63965,11.3253,0.0262981,0.94033,0.009724163793853671,0.03793011518010983,0.0005480626217968671,0.028381126580907596,0.01914586704416699,0.0263965
2002,4.5957,16.0083,0.256319,1.05786,0.03174577977663492,0.07646336666902542,0.0056908244381393275,0.09909628042983842,0.05324906282840952,0.045957
2003,6.2,20.8536,0.866656,1.12037,0.04980732141471981,0.11633207549653832,0.019336618445123074,0.13670713950493985,0.08054578871533026,0.062
2004,7.3,25.7141,1.91534,1.21498,0.06219134921618673,0.15632585488194817,0.04278288803457898,0.19363184558549235,0.11373298442955156,0.073
2005,8.52326,30.0304,2.85109,1.30792,0.0759630636238435,0.19184177916159934,0.0637042015745332,0.24955175027978002,0.145265198659939,0.0852326
2006,10.5232,34.9802,3.85819,1.36854,0.09847880231590327,0.23257034807465393,0.08622074431146924,0.2860254389237194,0.17582383340643648,0.10523199999999999
2007,16.0,41.2808,5.0093,1.37369,0.16013775091869786,0.28441373998818403,0.11195703416343472,0.28912407792926687,0.21140815074989586,0.16
2008,22.6,48.0758,6.21365,1.44592,0.2344419177274994,0.3403252163638368,0.13888365341199885,0.3325832420789161,0.26155850739556274,0.226
2009,28.9,55.6575,7.74497,1.6648,0.3053686224086281,0.40270991694327546,0.17312060329177734,0.4642784082020674,0.3363693877114371,0.289
2010,34.3,63.5563,9.34748,1.71372,0.3661629407067384,0.467703819753578,0.20894920512016316,0.49371247036738425,0.384132108986966,0.34299999999999997
2011,38.3,72.5052,11.5043,1.78034,0.41119576907570904,0.5413382878828022,0.2571709603638117,0.5337962238721556,0.43587531029861964,0.38299999999999995
2012,42.3001,81.2076,12.7916,1.91214,0.4562297232653889,0.6129444736092894,0.2859521593165053,0.6130973153150985,0.4920559178765705,0.423001
2013,45.8,89.1302,13.6989,1.99786,0.49563232226752896,0.6781342105826148,0.30623739337987743,0.6646731086268517,0.5361692587142182,0.45799999999999996
2014,47.9,92.6612,14.4445,2.02243,0.5192745571612385,0.7071884303151283,0.32290737080481985,0.6794563242319587,0.5572066706282863,0.479
2015,50.3,92.5401,19.8438,2.05701,0.5462942541826209,0.7061919800150412,0.44362385298090845,0.7002623313798871,0.5990931046396144,0.503
2016,53.2,97.2139,22.9761,2.10033,0.5789430547501246,0.7446495309031245,0.513655197251492,0.7263269996750942,0.6408936956449588,0.532
2017,54.3,104.073,27.9101,2.11603,0.5913270825515915,0.8010884429867506,0.6239685939986298,0.7357733360609379,0.6880393638994774,0.5429999999999999
2018,59.2,116.229,28.7089,2.14058,0.6464922973035806,0.9011119759996181,0.6418280065080771,0.7505445181165088,0.7349941994819462,0.5920000000000001
2019,64.0809,122.67,31.5611,2.24463,0.7014424803001077,0.9541106249084598,0.7055969303431372,0.8131490595781037,0.7935747737824521,0.640809
2020,70.0528,120.497,33.907,2.40666,0.7686753672342718,0.9362304721248993,0.7580460988532933,0.9106388611448719,0.8433976998393341,0.700528
2021,73.0532,121.492,37.5612,2.4326,0.8024544917938367,0.9444176566714445,0.8397459801652899,0.9262463748932022,0.8782161258809433,0.7305320000000001
2022,75.6113,124.195,41.3736,2.55518,0.8312541113565025,0.966658822329044,0.9249828658075251,1.0,0.9307239498732679,0.756113
2023,90.6,128.247,44.7289,,1.0,1.0,1.0,,1.0,0.9059999999999999
