year,labor_force_advanced_education_pct,labor_force_basic_education_pct,labor_force_intermediate_education_pct,self_employed_pct,vulnerable_employment_pct,wage_salaried_workers_pct,contributing_family_workers_pct,employment_to_population_female_pct,youth_unemployment_pct
2000,73.352,79.427,70.819,51.7298172001865,48.0183372305775,48.2701797455127,19.3966331232594,65.989,6.84
2001,,,,51.1173818481908,47.3799724526367,48.8826256614049,18.8805809573448,65.273,7.994
2002,,,,50.4709208374841,46.7012672338196,49.5290794487724,18.3561591846717,64.616,8.919
2003,,,,49.7937797670276,45.9882105974691,50.2062186734046,17.816480620483,64.018,9.624
2004,,,,49.0813949997696,45.236003901082,50.9186020623231,17.273469975702,63.666,9.433
2005,,,,48.3508300482857,44.4697322649126,51.6491699517143,16.6942481427351,63.243,9.495
2006,,,,47.5863616252193,43.6722793357819,52.413639057741,16.1016903243717,62.885,9.331
2007,,,,46.7736032278133,42.8299922600966,53.2263983991852,15.5042628583258,62.519,9.224
2008,,,,45.9874217251202,42.013887418356,54.0125808440868,14.9153252120322,61.97,9.803
2009,,,,45.2418841504587,41.2417335404196,54.7581176017612,14.3351268674258,61.483,10.15
2010,,,,44.5156402144058,40.4867143485093,55.4843597855942,13.7729482606739,61.17,9.823
2011,,,,43.8270692357281,39.7731246435059,56.1729278358882,13.2364406503382,61.149,9.976
2012,,,,43.1905231322066,39.1144990738399,56.8094748724725,12.7298689203705,60.817,10.154
2013,,,,42.5964774446499,38.4984455583427,57.4035224223721,12.2513561496052,60.507,10.316
2014,,,,42.0383638931732,37.9179011645414,57.9616318569844,11.7997027174144,60.301,10.507
2015,,,,41.5081243785911,37.3670101435152,58.4918785409595,11.3749504212213,60.078,10.68
2016,,,,41.0020022616295,36.8378037904124,58.9979972079061,10.9738854751989,59.859,10.574
2017,,,,40.5136804909761,36.3236704322757,59.4863204387101,10.5928907674642,59.552,10.431
2018,,,,40.0335822620333,35.8183526295519,59.9664192007385,10.2345533188443,59.279,9.674
2019,,,,39.5615634674402,35.3216676043777,60.4384345294744,9.90074818711424,58.877,10.681
2020,,,,39.5380663961693,35.3997429816079,60.4619293602765,9.63310524252046,57.118,12.65
2021,,,,39.2671036518974,35.0980643322894,60.7328948874263,9.3103503612143,58.763,12.404
2022,,,,38.8572330406533,34.6621398489615,61.1427650636135,9.02258104365402,57.496,14.673
2023,,,,38.4495420868749,34.2291488221934,61.5504608675359,8.74157710578523,57.772,15.562
