city_name,batch,treatment_year,is_pilot
北京市,1,2013,1
天津市,1,2013,1
上海市,1,2013,1
重庆市,1,2013,1
石家庄市,1,2013,1
保定市,1,2013,1
廊坊市,1,2013,1
邯郸市,1,2013,1
秦皇岛市,1,2013,1
太原市,1,2013,1
长治市,1,2013,1
大同市,1,2013,1
呼和浩特市,1,2013,1
鄂尔多斯市,1,2013,1
包头市,1,2013,1
沈阳市,1,2013,1
大连市,1,2013,1
鞍山市,1,2013,1
营口市,1,2013,1
长春市,1,2013,1
吉林市,1,2013,1
四平市,1,2013,1
哈尔滨市,1,2013,1
大庆市,1,2013,1
齐齐哈尔市,1,2013,1
南京市,1,2013,1
无锡市,1,2013,1
常州市,1,2013,1
镇江市,1,2013,1
扬州市,1,2013,1
南通市,1,2013,1
杭州市,1,2013,1
宁波市,1,2013,1
温州市,1,2013,1
嘉兴市,1,2013,1
湖州市,1,2013,1
合肥市,1,2013,1
芜湖市,1,2013,1
蚌埠市,1,2013,1
福州市,1,2013,1
厦门市,1,2013,1
莆田市,1,2013,1
南昌市,1,2013,1
萍乡市,1,2013,1
新余市,1,2013,1
济南市,1,2013,1
青岛市,1,2013,1
东营市,1,2013,1
威海市,1,2013,1
郑州市,1,2013,1
鹤壁市,1,2013,1
漯河市,1,2013,1
新乡市,1,2013,1
武汉市,1,2013,1
襄阳市,1,2013,1
宜昌市,1,2013,1
长沙市,1,2013,1
株洲市,1,2013,1
湘潭市,1,2013,1
广州市,1,2013,1
深圳市,1,2013,1
珠海市,1,2013,1
佛山市,1,2013,1
东莞市,1,2013,1
南宁市,1,2013,1
柳州市,1,2013,1
海口市,1,2013,1
三亚市,1,2013,1
成都市,1,2013,1
绵阳市,1,2013,1
乐山市,1,2013,1
贵阳市,1,2013,1
遵义市,1,2013,1
昆明市,1,2013,1
玉溪市,1,2013,1
西安市,1,2013,1
咸阳市,1,2013,1
延安市,1,2013,1
兰州市,1,2013,1
金昌市,1,2013,1
西宁市,1,2013,1
银川市,1,2013,1
乌鲁木齐市,1,2013,1
克拉玛依市,1,2013,1
唐山市,2,2014,1
沧州市,2,2014,1
衡水市,2,2014,1
邢台市,2,2014,1
晋城市,2,2014,1
朔州市,2,2014,1
运城市,2,2014,1
赤峰市,2,2014,1
通辽市,2,2014,1
乌海市,2,2014,1
本溪市,2,2014,1
抚顺市,2,2014,1
盘锦市,2,2014,1
辽阳市,2,2014,1
延边朝鲜族自治州,2,2014,1
通化市,2,2014,1
辽源市,2,2014,1
牡丹江市,2,2014,1
佳木斯市,2,2014,1
鸡西市,2,2014,1
苏州市,2,2014,1
徐州市,2,2014,1
连云港市,2,2014,1
淮安市,2,2014,1
盐城市,2,2014,1
泰州市,2,2014,1
宿迁市,2,2014,1
金华市,2,2014,1
衢州市,2,2014,1
台州市,2,2014,1
丽水市,2,2014,1
舟山市,2,2014,1
马鞍山市,2,2014,1
铜陵市,2,2014,1
安庆市,2,2014,1
淮南市,2,2014,1
泉州市,2,2014,1
漳州市,2,2014,1
龙岩市,2,2014,1
九江市,2,2014,1
赣州市,2,2014,1
吉安市,2,2014,1
景德镇市,2,2014,1
鹰潭市,2,2014,1
烟台市,2,2014,1
潍坊市,2,2014,1
临沂市,2,2014,1
济宁市,2,2014,1
日照市,2,2014,1
聊城市,2,2014,1
洛阳市,2,2014,1
焦作市,2,2014,1
许昌市,2,2014,1
开封市,2,2014,1
平顶山市,2,2014,1
安阳市,2,2014,1
黄石市,2,2014,1
十堰市,2,2014,1
荆门市,2,2014,1
孝感市,2,2014,1
荆州市,2,2014,1
岳阳市,2,2014,1
常德市,2,2014,1
衡阳市,2,2014,1
郴州市,2,2014,1
益阳市,2,2014,1
中山市,2,2014,1
惠州市,2,2014,1
汕头市,2,2014,1
肇庆市,2,2014,1
江门市,2,2014,1
茂名市,2,2014,1
桂林市,2,2014,1
北海市,2,2014,1
梧州市,2,2014,1
泸州市,2,2014,1
南充市,2,2014,1
遂宁市,2,2014,1
宜宾市,2,2014,1
德阳市,2,2014,1
攀枝花市,2,2014,1
六盘水市,2,2014,1
安顺市,2,2014,1
曲靖市,2,2014,1
大理白族自治州,2,2014,1
红河哈尼族彝族自治州,2,2014,1
宝鸡市,2,2014,1
渭南市,2,2014,1
汉中市,2,2014,1
铜川市,2,2014,1
天水市,2,2014,1
嘉峪关市,2,2014,1
张掖市,2,2014,1
石嘴山市,2,2014,1
吴忠市,2,2014,1
哈密市,2,2014,1
库尔勒市,2,2014,1
昌吉市,2,2014,1
张家口市,3,2015,1
承德市,3,2015,1
忻州市,3,2015,1
阳泉市,3,2015,1
临汾市,3,2015,1
晋中市,3,2015,1
呼伦贝尔市,3,2015,1
锡林郭勒盟,3,2015,1
乌兰察布市,3,2015,1
丹东市,3,2015,1
锦州市,3,2015,1
阜新市,3,2015,1
朝阳市,3,2015,1
葫芦岛市,3,2015,1
白城市,3,2015,1
白山市,3,2015,1
松原市,3,2015,1
伊春市,3,2015,1
七台河市,3,2015,1
双鸭山市,3,2015,1
黑河市,3,2015,1
连云港市,3,2015,1
绍兴市,3,2015,1
滁州市,3,2015,1
宣城市,3,2015,1
亳州市,3,2015,1
六安市,3,2015,1
池州市,3,2015,1
宁德市,3,2015,1
南平市,3,2015,1
三明市,3,2015,1
上饶市,3,2015,1
抚州市,3,2015,1
宜春市,3,2015,1
枣庄市,3,2015,1
德州市,3,2015,1
滨州市,3,2015,1
泰安市,3,2015,1
菏泽市,3,2015,1
南阳市,3,2015,1
商丘市,3,2015,1
信阳市,3,2015,1
周口市,3,2015,1
驻马店市,3,2015,1
三门峡市,3,2015,1
濮阳市,3,2015,1
随州市,3,2015,1
鄂州市,3,2015,1
黄冈市,3,2015,1
咸宁市,3,2015,1
邵阳市,3,2015,1
娄底市,3,2015,1
怀化市,3,2015,1
永州市,3,2015,1
张家界市,3,2015,1
湘西土家族苗族自治州,3,2015,1
韶关市,3,2015,1
清远市,3,2015,1
揭阳市,3,2015,1
潮州市,3,2015,1
阳江市,3,2015,1
河源市,3,2015,1
云浮市,3,2015,1
贵港市,3,2015,1
玉林市,3,2015,1
百色市,3,2015,1
钦州市,3,2015,1
河池市,3,2015,1
来宾市,3,2015,1
贺州市,3,2015,1
广元市,3,2015,1
内江市,3,2015,1
资阳市,3,2015,1
雅安市,3,2015,1
达州市,3,2015,1
巴中市,3,2015,1
广安市,3,2015,1
眉山市,3,2015,1
铜仁市,3,2015,1
毕节市,3,2015,1
黔南布依族苗族自治州,3,2015,1
黔西南布依族苗族自治州,3,2015,1
黔东南苗族侗族自治州,3,2015,1
保山市,3,2015,1
楚雄彝族自治州,3,2015,1
文山壮族苗族自治州,3,2015,1
普洱市,3,2015,1
临沧市,3,2015,1
拉萨市,3,2015,1
安康市,3,2015,1
商洛市,3,2015,1
榆林市,3,2015,1
武威市,3,2015,1
定西市,3,2015,1
平凉市,3,2015,1
庆阳市,3,2015,1
陇南市,3,2015,1
临夏回族自治州,3,2015,1
海东市,3,2015,1
固原市,3,2015,1
中卫市,3,2015,1
阿克苏市,3,2015,1
喀什市,3,2015,1
伊宁市,3,2015,1
