city_name,batch,treatment_year,year,treated,post,is_pilot
北京市,1,2013,2008,0,0,1
北京市,1,2013,2009,0,0,1
北京市,1,2013,2010,0,0,1
北京市,1,2013,2011,0,0,1
北京市,1,2013,2012,0,0,1
北京市,1,2013,2013,1,1,1
北京市,1,2013,2014,1,1,1
北京市,1,2013,2015,1,1,1
北京市,1,2013,2016,1,1,1
北京市,1,2013,2017,1,1,1
北京市,1,2013,2018,1,1,1
北京市,1,2013,2019,1,1,1
北京市,1,2013,2020,1,1,1
北京市,1,2013,2021,1,1,1
北京市,1,2013,2022,1,1,1
北京市,1,2013,2023,1,1,1
天津市,1,2013,2008,0,0,1
天津市,1,2013,2009,0,0,1
天津市,1,2013,2010,0,0,1
天津市,1,2013,2011,0,0,1
天津市,1,2013,2012,0,0,1
天津市,1,2013,2013,1,1,1
天津市,1,2013,2014,1,1,1
天津市,1,2013,2015,1,1,1
天津市,1,2013,2016,1,1,1
天津市,1,2013,2017,1,1,1
天津市,1,2013,2018,1,1,1
天津市,1,2013,2019,1,1,1
天津市,1,2013,2020,1,1,1
天津市,1,2013,2021,1,1,1
天津市,1,2013,2022,1,1,1
天津市,1,2013,2023,1,1,1
上海市,1,2013,2008,0,0,1
上海市,1,2013,2009,0,0,1
上海市,1,2013,2010,0,0,1
上海市,1,2013,2011,0,0,1
上海市,1,2013,2012,0,0,1
上海市,1,2013,2013,1,1,1
上海市,1,2013,2014,1,1,1
上海市,1,2013,2015,1,1,1
上海市,1,2013,2016,1,1,1
上海市,1,2013,2017,1,1,1
上海市,1,2013,2018,1,1,1
上海市,1,2013,2019,1,1,1
上海市,1,2013,2020,1,1,1
上海市,1,2013,2021,1,1,1
上海市,1,2013,2022,1,1,1
上海市,1,2013,2023,1,1,1
重庆市,1,2013,2008,0,0,1
重庆市,1,2013,2009,0,0,1
重庆市,1,2013,2010,0,0,1
重庆市,1,2013,2011,0,0,1
重庆市,1,2013,2012,0,0,1
重庆市,1,2013,2013,1,1,1
重庆市,1,2013,2014,1,1,1
重庆市,1,2013,2015,1,1,1
重庆市,1,2013,2016,1,1,1
重庆市,1,2013,2017,1,1,1
重庆市,1,2013,2018,1,1,1
重庆市,1,2013,2019,1,1,1
重庆市,1,2013,2020,1,1,1
重庆市,1,2013,2021,1,1,1
重庆市,1,2013,2022,1,1,1
重庆市,1,2013,2023,1,1,1
石家庄市,1,2013,2008,0,0,1
石家庄市,1,2013,2009,0,0,1
石家庄市,1,2013,2010,0,0,1
石家庄市,1,2013,2011,0,0,1
石家庄市,1,2013,2012,0,0,1
石家庄市,1,2013,2013,1,1,1
石家庄市,1,2013,2014,1,1,1
石家庄市,1,2013,2015,1,1,1
石家庄市,1,2013,2016,1,1,1
石家庄市,1,2013,2017,1,1,1
石家庄市,1,2013,2018,1,1,1
石家庄市,1,2013,2019,1,1,1
石家庄市,1,2013,2020,1,1,1
石家庄市,1,2013,2021,1,1,1
石家庄市,1,2013,2022,1,1,1
石家庄市,1,2013,2023,1,1,1
保定市,1,2013,2008,0,0,1
保定市,1,2013,2009,0,0,1
保定市,1,2013,2010,0,0,1
保定市,1,2013,2011,0,0,1
保定市,1,2013,2012,0,0,1
保定市,1,2013,2013,1,1,1
保定市,1,2013,2014,1,1,1
保定市,1,2013,2015,1,1,1
保定市,1,2013,2016,1,1,1
保定市,1,2013,2017,1,1,1
保定市,1,2013,2018,1,1,1
保定市,1,2013,2019,1,1,1
保定市,1,2013,2020,1,1,1
保定市,1,2013,2021,1,1,1
保定市,1,2013,2022,1,1,1
保定市,1,2013,2023,1,1,1
廊坊市,1,2013,2008,0,0,1
廊坊市,1,2013,2009,0,0,1
廊坊市,1,2013,2010,0,0,1
廊坊市,1,2013,2011,0,0,1
廊坊市,1,2013,2012,0,0,1
廊坊市,1,2013,2013,1,1,1
廊坊市,1,2013,2014,1,1,1
廊坊市,1,2013,2015,1,1,1
廊坊市,1,2013,2016,1,1,1
廊坊市,1,2013,2017,1,1,1
廊坊市,1,2013,2018,1,1,1
廊坊市,1,2013,2019,1,1,1
廊坊市,1,2013,2020,1,1,1
廊坊市,1,2013,2021,1,1,1
廊坊市,1,2013,2022,1,1,1
廊坊市,1,2013,2023,1,1,1
邯郸市,1,2013,2008,0,0,1
邯郸市,1,2013,2009,0,0,1
邯郸市,1,2013,2010,0,0,1
邯郸市,1,2013,2011,0,0,1
邯郸市,1,2013,2012,0,0,1
邯郸市,1,2013,2013,1,1,1
邯郸市,1,2013,2014,1,1,1
邯郸市,1,2013,2015,1,1,1
邯郸市,1,2013,2016,1,1,1
邯郸市,1,2013,2017,1,1,1
邯郸市,1,2013,2018,1,1,1
邯郸市,1,2013,2019,1,1,1
邯郸市,1,2013,2020,1,1,1
邯郸市,1,2013,2021,1,1,1
邯郸市,1,2013,2022,1,1,1
邯郸市,1,2013,2023,1,1,1
秦皇岛市,1,2013,2008,0,0,1
秦皇岛市,1,2013,2009,0,0,1
秦皇岛市,1,2013,2010,0,0,1
秦皇岛市,1,2013,2011,0,0,1
秦皇岛市,1,2013,2012,0,0,1
秦皇岛市,1,2013,2013,1,1,1
秦皇岛市,1,2013,2014,1,1,1
秦皇岛市,1,2013,2015,1,1,1
秦皇岛市,1,2013,2016,1,1,1
秦皇岛市,1,2013,2017,1,1,1
