year,gdp_per_capita_usd,gdp_per_capita_ppp,gdp_total_usd,industry_value_added_pct_gdp,services_value_added_pct_gdp,agriculture_value_added_pct_gdp,employment_agriculture_pct,employment_industry_pct,employment_services_pct,labor_force_total,unemployment_rate_pct,urban_population_pct,population_total,population_65plus_pct,population_15_64_pct,tertiary_enrollment_gross,secondary_enrollment_gross,internet_users_pct,mobile_subscriptions_per100,fixed_broadband_per100,fdi_net_inflows_usd,gross_fixed_capital_formation_pct_gdp,domestic_credit_private_pct_gdp,rd_expenditure_pct_gdp
2000,969.199513696287,2963.53238602023,1223754919971.05,45.0738315177586,40.398939477991,14.5272519499825,50.0395612662259,24.6470198851309,25.3134188486432,706837950.0,3.26,36.4320234662299,1262645000.0,7.01747574076251,68.43842782702,7.57777976989746,59.4924812316895,1.77591,6.7156,0.00178484,42095300000.0,32.6471790154044,109.994877039067,0.89316
2001,1065.40597574519,3258.40210660305,1355036590251.52,44.276543602601,41.9013296504106,13.8221069560341,50.0000075818034,22.2999534859973,27.7000389321993,715928584.0,3.8,37.6597442626953,1271850000.0,7.21351682273765,68.9801155359775,9.28069019317627,62.2098388671875,2.63965,11.3253,0.0262981,47053000000.0,33.4598817910203,108.774792189184,0.94033
2002,1163.55957673426,3590.7659594167,1489821682050.54,43.8758028122184,42.9947150275034,13.1294938258189,49.9999932729708,21.4001070576635,28.5998919404385,725938760.0,4.24,39.0897827148438,1280400000.0,7.40162875834336,69.67006217559,11.8050804138184,62.8378982543945,4.5957,16.0083,0.256319,53073618897.4036,34.9878641071948,115.979390472452,1.05786
2003,1306.97245408557,4007.11604605423,1683903309843.85,44.9827621327146,42.8414813603076,12.1757600914927,49.0994891398691,21.6000317879629,29.3004810570726,735682023.0,4.58,40.5302314758301,1288400000.0,7.57962663220469,70.3774446816481,14.513970375061,64.0541305541992,6.2,20.8536,0.866656,57900937467.3864,38.0846809344133,123.908441331551,1.12037
2004,1530.92726215723,4504.92937237596,1984196551300.44,45.2328326582556,42.0383247680055,12.7288429360401,46.9002521281439,22.4994633352348,30.6002920912406,744936890.0,4.49,41.7600135803223,1296075000.0,7.73725110121901,71.0763188122428,16.9004402160644,,7.3,25.7141,1.91534,68117272181.2194,39.3505370582361,116.911160094503,1.21498
2005,1777.64496828464,5148.18273933805,2317551298052.05,46.3816216984585,42.1355659992365,11.4828123533826,44.8001963078147,23.8000197014041,31.3997915890731,754465388.0,4.52,42.9899978637695,1303720000.0,7.88962840533466,71.815903350805,18.6565208435059,,8.52326,30.0304,2.85109,104108693867.085,39.2703289759488,110.318412911549,1.30792
2006,2129.25696999613,5946.28682830185,2791498472804.33,46.8865028592172,42.6376503739806,10.4758623658001,42.6004881144556,25.1993927171682,32.2001132949176,761959276.0,4.43,44.3430099487305,1311020000.0,8.05386346846253,72.353957155972,20.5667705535889,74.0575637817383,10.5232,34.9802,3.85819,124082035618.505,38.5215726233992,107.618484093695,1.36854
2007,2734.72709877693,6935.26580584434,3604055822571.63,46.1852362301075,43.7213258311976,10.0934194559262,40.8000442662963,26.799965080269,32.4000001442606,766486940.0,4.35,45.8892440795898,1317885000.0,8.21258625792709,72.6173623452205,21.4715595245361,78.1607131958008,16.0,41.2808,5.0093,156249335203.201,37.6709873123357,104.210464888538,1.37369
2008,3523.44302065213,7712.84608425069,4667346414521.95,46.2364191302482,43.7535960098397,10.0099770734138,39.6000709393206,27.1998176284931,33.2001114321863,769779554.0,4.59,46.9895057678223,1324655000.0,8.35535290441098,72.7779121303034,21.8667392730713,82.6792526245117,22.6,48.0758,6.21365,171534650311.568,38.8030814219879,100.407960956815,1.44592
2009,3898.24459158811,8447.98281469227,5189577094997.58,45.1788587231356,45.3481536809041,9.47299581661597,38.0998847578432,27.8001237336841,34.0999915084727,772141043.0,4.72,48.3417053222656,1331260000.0,8.49817888668038,72.856169869084,23.2886295318604,88.2874984741211,28.9,55.6575,7.74497,131057052869.5,43.4097668520056,122.30114770831,1.6648
